,composite,nowcast_prob,lead_prob
1970-01-31,0.06681680483004349,,
1970-02-28,0.047072014754892165,,
1970-03-31,0.05608387074065541,,
1970-04-30,0.048698103504912604,,
1970-05-31,0.02125333282909993,,
1970-06-30,0.035037576998463264,,
1970-07-31,0.03423457124155582,,
1970-08-31,0.011920432646081974,,
1970-09-30,0.015358435914802054,,
1970-10-31,-0.01368805803955327,,
1970-11-30,-0.05475590698283766,,
1970-12-31,-0.000586964115215315,,
1971-01-31,-0.312504308505409,,
1971-02-28,-0.3689441292092481,,
1971-03-31,-0.2684057319833369,,
1971-04-30,-0.11704440499448378,,
1971-05-31,-0.04775606638655865,,
1971-06-30,-0.04195704598136566,,
1971-07-31,-0.06636627211560643,,
1971-08-31,-0.08608267393847564,,
1971-09-30,0.016122718166011532,,
1971-10-31,0.2704216718532876,,
1971-11-30,0.4628718075005373,,
1971-12-31,0.3690617025710455,,
1972-01-31,0.46373674444455887,,
1972-02-29,0.5935432812225481,,
1972-03-31,0.5904920418206184,,
1972-04-30,0.6255190708564209,,
1972-05-31,0.5978160099631776,,
1972-06-30,0.6454858772320737,,
1972-07-31,0.595326067015694,,
1972-08-31,0.8676051505314802,,
1972-09-30,0.8942071602175249,,
1972-10-31,0.9760843699081118,,
1972-11-30,1.018791655422506,,
1972-12-31,1.0105125073935215,,
1973-01-31,1.042602253973374,,
1973-02-28,1.0971539559577694,,
1973-03-31,1.015576220025355,,
1973-04-30,0.8534270317599983,,
1973-05-31,0.8535222317183203,,
1973-06-30,0.8170375222296404,,
1973-07-31,0.8663070941201033,,
1973-08-31,0.5271848790044296,,
1973-09-30,0.5070142446327579,,
1973-10-31,0.4582572594023033,,
1973-11-30,0.37931106026864847,,
1973-12-31,0.2009498751338515,,
1974-01-31,0.03412740484829899,,
1974-02-28,-0.17497906243445724,,
1974-03-31,-0.15080356193867617,,
1974-04-30,-0.27826372827520146,,
1974-05-31,-0.29377362436120896,,
1974-06-30,-0.37796207720891123,,
1974-07-31,-0.4844836537463425,,
1974-08-31,-0.573019877551909,,
1974-09-30,-0.6468815213525643,,
1974-10-31,-0.830904170969356,,
1974-11-30,-1.2959520150850652,,
1974-12-31,-1.5545273259881738,,
1975-01-31,-1.67234215304553,,
1975-02-28,-1.9243855367437916,,
1975-03-31,-1.9994263529924945,,
1975-04-30,-1.8346415721904343,,
1975-05-31,-1.9477164722306257,,
1975-06-30,-1.7779849765362117,,
1975-07-31,-1.5670771452945882,,
1975-08-31,-1.3159691080264402,,
1975-09-30,-1.0983739387133233,,
1975-10-31,-0.8922204238563765,,
1975-11-30,-0.5339264758833155,,
1975-12-31,-0.010396503178122532,,
1976-01-31,0.4407428912830549,,
1976-02-29,0.8710768023149531,,
1976-03-31,1.025624897901437,,
1976-04-30,0.9485204424145082,,
1976-05-31,1.0481113811896066,,
1976-06-30,0.9794454504785932,,
1976-07-31,0.8693653026042937,,
1976-08-31,0.8021750250640263,,
1976-09-30,0.789203261010309,,
1976-10-31,0.5939629621061551,,
1976-11-30,0.7288680099787053,,
1976-12-31,0.7160353031581312,,
1977-01-31,0.4220934747587957,,
1977-02-28,0.5405518743062939,,
1977-03-31,0.7241190987497912,,
1977-04-30,0.8056043517739009,,
1977-05-31,0.811913640997265,,
1977-06-30,0.8590735567086342,,
1977-07-31,0.8697698999433071,,
1977-08-31,0.845978251379259,,
1977-09-30,0.7942558650598349,,
1977-10-31,0.9813706787352799,,
1977-11-30,0.8661009992619714,,
1977-12-31,0.8543141701678704,,
1978-01-31,0.6723925649730885,,
1978-02-28,0.5691068273792996,,
1978-03-31,0.6275732921542673,,
1978-04-30,0.8110003025543813,,
1978-05-31,0.7267603269201129,,
1978-06-30,0.7719916308501534,,
1978-07-31,0.6729562039449613,,
1978-08-31,0.6918528026938229,,
1978-09-30,0.6706814539739097,,
1978-10-31,0.6517702397611086,,
1978-11-30,0.6676571161480009,,
1978-12-31,0.5840201446735842,,
1979-01-31,0.7407057942370576,,
1979-02-28,0.6560947745209151,,
1979-03-31,0.6025522178642047,,
1979-04-30,0.05618068245565226,,
1979-05-31,0.2725527890994211,,
1979-06-30,0.12383012449348407,,
1979-07-31,0.10433883252932297,,
1979-08-31,-0.025942536431793645,,
1979-09-30,-0.059234547556309795,,
1979-10-31,-0.18293545629734917,,
1979-11-30,-0.31789196834961225,,
1979-12-31,-0.3658840524589285,,
1980-01-31,-0.2569723818508491,,
1980-02-29,-0.33598197544161534,,
1980-03-31,-0.6918085411485462,,
1980-04-30,-0.7313296933374764,,
1980-05-31,-1.2927207622280303,,
1980-06-30,-1.3009779747456625,,
1980-07-31,-1.2832830466847467,,
1980-08-31,-1.0395790024189837,,
1980-09-30,-0.869645492450063,,
1980-10-31,-0.6886381691519585,,
1980-11-30,-0.506291414483851,,
1980-12-31,-0.46853474526775507,,
1981-01-31,-0.47780585488618493,,
1981-02-28,-0.5301689232710733,,
1981-03-31,-0.2909711972087653,,
1981-04-30,0.02867840639283296,,
1981-05-31,0.2797864212012112,,
1981-06-30,0.19412280685126895,,
1981-07-31,0.289410305506268,,
1981-08-31,0.11969909499443401,,
1981-09-30,-0.1566193038175006,,
1981-10-31,-0.47260993369645055,,
1981-11-30,-0.7644172310526244,,
1981-12-31,-0.9548124106044982,,
1982-01-31,-1.2636047687473317,0.2213413253971846,0.03899678518650807
1982-02-28,-0.8260139289052638,0.1183276136915471,0.14051088997663147
1982-03-31,-0.9837857696393516,0.1488359107818074,0.10434834621775069
1982-04-30,-1.1047894955524404,0.17113036453400104,0.10592623642720683
1982-05-31,-1.09430657522167,0.17419297083503643,0.07793575717231817
1982-06-30,-1.1742743366301616,0.1948860093282639,0.05951525646210426
1982-07-31,-1.2522674995263707,0.22512325141471085,0.025919835243286376
1982-08-31,-1.3766963808417298,0.2891173916824846,0.0023423256619192613
1982-09-30,-1.2471854337818609,0.25765541268475695,0.0020684500760207807
1982-10-31,-1.1732594828604008,0.22046540089797884,0.009970060442977631
1982-11-30,-0.9657315180110678,0.16645682966909792,0.02281758322440137
1982-12-31,-0.8657203761767933,0.14965019727335183,0.019781637871060978
1983-01-31,-0.18717554914864276,0.05962950704920362,0.019723184529726323
1983-02-28,-0.5204849302731274,0.09630284541075207,0.019926865048948524
1983-03-31,-0.3251485837375115,0.06970162209645307,0.032962839934021174
1983-04-30,-0.11673270130908438,0.05095219324485866,0.031682682320206136
1983-05-31,0.07165516666978707,0.03752124001988916,0.03175326413782011
1983-06-30,0.3457453750856933,0.022777729012737113,0.03776338075496506
1983-07-31,0.48047327151568897,0.018250935359934384,0.030399034916816853
1983-08-31,0.6496306003721395,0.013499575910225128,0.025277136648081126
1983-09-30,0.8170649793706517,0.009899536066748923,0.020765128937844102
1983-10-31,1.0872711069686831,0.005808587250417791,0.015589171077020474
1983-11-30,1.1746392299704609,0.004810386313234378,0.015140428266521377
1983-12-31,1.3041923228687986,0.003529056245365192,0.017065959053033125
1984-01-31,1.2755230951210554,0.0037326785923801663,0.018262747110048327
1984-02-29,1.487407004886959,0.0022612779393655076,0.018828357426400637
1984-03-31,1.2924063034369235,0.0036018319528641593,0.017883798839434133
1984-04-30,1.301047946639338,0.003604532553111661,0.015458305488316816
1984-05-31,1.1474484513011327,0.005598480093139972,0.007389939493129431
1984-06-30,1.1010151221584046,0.006302072574955867,0.006386484917956486
1984-07-31,0.9161467036450683,0.008708522659422211,0.011323169624450666
1984-08-31,0.9220471035110662,0.007433012028024347,0.034006239491343786
1984-09-30,0.7784661762382097,0.009896876405712815,0.0371149717681452
1984-10-31,0.6011555007781012,0.014699158609164447,0.027211167024450405
1984-11-30,0.5587656105001068,0.017279524329288455,0.014001589071377007
1984-12-31,0.45932369718043353,0.022200799507285856,0.007607188280434116
1985-01-31,0.2800861997919706,0.03128202790509378,0.0059056675712652355
1985-02-28,0.0872961114970482,0.04126741185098686,0.009820416745494867
1985-03-31,0.2610025230526829,0.03105939700619136,0.008989441198407196
1985-04-30,0.11359570030741548,0.04070069997944302,0.007143062828185536
1985-05-31,0.08419596617159443,0.04223799804252421,0.008072983722802003
1985-06-30,-0.002984776750695513,0.04788787178817055,0.009538439603821227
1985-07-31,-0.010883282300585608,0.04857056743499134,0.009374311717318487
1985-08-31,0.10570104466696903,0.040079666902608425,0.009707186346632278
1985-09-30,0.06792235704122357,0.043019061939117545,0.008830334081987272
1985-10-31,0.06639952492623367,0.04215361607933838,0.011263776427434972
1985-11-30,0.053631257389354356,0.040554146631312724,0.020478757023954828
1985-12-31,0.14605211632713547,0.03326175932082478,0.030351437936829345
1986-01-31,0.2202856088077781,0.029130506783876554,0.03151094624837393
1986-02-28,0.14978891641164438,0.031104968449513954,0.04997490480000526
1986-03-31,0.02716896875039168,0.03658544886460773,0.07125398860723678
1986-04-30,0.1036385278656304,0.032315833516498436,0.06830990977789334
1986-05-31,0.07774131996225928,0.03502280309182824,0.05179590605960329
1986-06-30,0.07639955412001423,0.035216770913565267,0.05047625279318798
1986-07-31,0.10440603453680912,0.033194546293457625,0.0552594416793474
1986-08-31,-0.015491274815126294,0.041405452957825425,0.04696932174740928
1986-09-30,0.0360713028896912,0.04076677965960281,0.025587964174785545
1986-10-31,0.010283252266316472,0.0425643716636509,0.025376912229362187
1986-11-30,0.004350017978102064,0.041314151876907984,0.03626300116807412
1986-12-31,0.09724118840359808,0.0341015497279866,0.04922691085355867
1987-01-31,-0.054166570255017935,0.04422848288164354,0.04583825038347268
1987-02-28,0.22754724348525568,0.02743562041873587,0.04614145570229916
1987-03-31,0.20672864032357663,0.028401987672212796,0.046870607114686824
1987-04-30,0.1980420894367356,0.03143344184278286,0.02274667249893303
1987-05-31,0.25053453744973164,0.030672196556393493,0.01221489334519819
1987-06-30,0.2825387377907644,0.028259010906293826,0.01568174168199574
1987-07-31,0.3435011365837289,0.025427742755335703,0.015333092022297842
1987-08-31,0.39536050204315426,0.023044495730040953,0.01604765975053795
1987-09-30,0.4023763119696866,0.02353848451823162,0.011740953925248189
1987-10-31,0.4828785726868589,0.021281943377954433,0.00754132582561135
1987-11-30,0.45589639902068146,0.021811073330131252,0.009601244649343293
1987-12-31,0.3642547971832592,0.025921541389101826,0.00895751411021761
1988-01-31,0.4376110869602831,0.02169517225711771,0.01379285506883655
1988-02-29,0.4009770649531742,0.022366449344812734,0.019100230572519333
1988-03-31,0.48313600405028667,0.019551617381025965,0.016477351849243115
1988-04-30,0.5216760664159252,0.01850247540573602,0.014200701439242383
1988-05-31,0.4934668352076876,0.01950288497798739,0.014212634971331425
1988-06-30,0.5559158934880677,0.016511316678232506,0.02156285099888604
1988-07-31,0.46350080232822793,0.019282045742583943,0.025249612767841167
1988-08-31,0.447111932504976,0.01951030777969921,0.029386364958872885
1988-09-30,0.4385734480801758,0.01868645782298778,0.04615989329210341
1988-10-31,0.4708697866959168,0.016910552508977193,0.06071120939541842
1988-11-30,0.4650485938425784,0.01651903259907229,0.07628646850009745
1988-12-31,0.48045298668432207,0.015670684321003745,0.08828652071452026
