,CCSA,ICSA,JTSJOL,MANEMP,PAYEMS,TEMPHELPS,UNRATE,AWHMAN,TCU,NEWORDER,DGORDER,IPMAN,INDPRO,UMCSENT,DSPIC96,W875RX1,CMRMTSPL,PCEC96,RSAFS,PERMIT,TTLCONS,HOUST,HSN1F,BAA10Y,NFCI,STLFSI4,BAMLH0A0HYM2,VIXCLS,T10Y2Y,T10Y3M
1970-01-31,,,,,,,,,1.0774008238009667,,,,,,,,,,,,,,,,,,,,,
1970-02-28,,,,,,,,,0.9973802827022608,,,,,-0.4073272651135192,,,,,,,,,,,,,,,,
1970-03-31,,,,,,,,,0.9043354990054793,,,,,,,,,,,,,,,,,,,,,
1970-04-30,,,,,,,,,0.7852422301125392,,,,,,,,,,,,,,,,,,,,,
1970-05-31,,,,,,,,,0.696277024350174,,,,,-0.604217004143379,,,,,,,,,,,,,,,,
1970-06-30,,,,,,,,,0.5649703606473636,,,,,,,,,,,,,,,,,,,,,
1970-07-31,,,,,,,,,0.5520221350294278,,,,,,,,,,,,,,,,,,,,,
1970-08-31,,,,,,,,,0.4519077721792136,,,,,-0.4437883278968267,,,,,,,,,,,,,,,,
1970-09-30,,,,,,,,,0.24765014653113,,,,,,,,,,,,,,,,,,,,,
1970-10-31,,,,,,,,,-0.22071580713208425,,,,,,,,,,,,,,,,,,,,,
1970-11-30,,,,,,,,,-0.4013321519552503,,,,,-0.822983380843224,,,,,,,,,,,,,,,,
1970-12-31,,,,,,,,,-0.009464619310711374,,,,,,,,,,,,,,,,,,,,,
1971-01-31,-0.4659083339175833,-0.10343594282481089,,-1.5789729467366518,-0.8494710304983429,,-1.4087527314750425,-0.8597428249841225,0.08887601400279814,,,,-0.6559697607344251,,0.7154182570448447,-0.42949072441011826,-0.34813669421883514,,,2.3366332267399432,,3.0270990908506916,1.561842918014454,,-0.6504549227630846,,,,,
1971-02-28,-0.40089856361666537,-0.0005233236429433763,,-1.586449032294572,-0.9649617653586837,,-1.1987208894648425,-0.8637730906504971,-0.0007480055874857111,,,,-0.6827262065969661,-0.4073272651135192,0.6463562621641405,-0.4584742489953533,-0.23484114312719093,,,1.768206259778045,,1.4235647662141067,3.1307882344521807,,-0.8145670612709937,,,,,
1971-03-31,-0.3618492111456059,0.0027987875987687378,,-1.6793940354717762,-1.0218239029360279,,-1.128710275461442,-0.5393457499913213,-0.07342023860556067,,,,-0.6780997460176366,,0.6252583996422721,-0.5004035583918359,0.15385865082113967,,,2.3671704620237715,,1.944676257319037,3.5961364125057225,,-0.9972201131370482,,,,,
1971-04-30,-0.2174826766789774,0.19841714624383994,,-1.4676513349812936,-0.8496248465585686,,-0.9186784334512426,0.11479971625499681,-0.011719789721665643,,,,-0.5023447527409496,,0.29250745075141493,-0.14970835075448044,0.4138511299623041,,,1.7918072271590724,,2.507711446166316,2.2914509052719234,,-1.2882623422832882,,,,,
1971-05-31,-0.08823383589446517,0.14520477759689115,,-1.0899647947158824,-0.5800802742802309,,-0.7786572054444423,0.2792588585526714,0.03943963791553805,,,,-0.36751616454460523,-0.25419080142362704,0.605427491133128,-0.06990852794678906,0.2665354259609263,,,2.0578151283952995,,2.58621880226757,1.490488962319069,,-1.4439559039150665,,,,,
